,district_id,city_id,region_id
0,12867.0,210,14
1,,3614,15
2,3434.0,204,10
3,87.0,1,15
4,,11879,7
5,961.0,26,7
6,,2090,16
7,,568,6
8,4286.0,204,10
9,18887.0,1551,12
10,,6171,2
11,,2637,4
12,,4333,15
13,,7214,7
14,919.0,40,11
15,38.0,26,7
16,,201,9
17,,2107,16
18,55606.0,172,12
19,8673.0,190,3
20,,47981,7
21,48.0,26,7
22,16.0,40,11
23,,38,6
24,,32914,9
25,1180.0,190,3
26,,181,13
27,63.0,38,6
28,,316,15
29,,10512,6
30,6293.0,172,12
31,,214,16
32,,4395,7
33,39.0,26,7
34,,99,6
35,,6292,7
36,,5808,1
37,,39,1
38,4472.0,172,12
39,,307,15
40,,1186,1
41,,1551,12
42,,2416,8
43,,14047,9
44,,1658,9
45,,108,6
46,,19946,2
47,,13450,2
48,9768.0,184,2
49,144.0,206,11
50,79.0,1,15
51,,18048,7
52,,160,1
53,1042.0,39,1
54,,65334,8
55,,196,7
56,1295.0,39,1
57,,2885,3
58,,40,11
59,14704.0,1,15
60,75114.0,26,7
61,,3094,1
62,4657.0,39,1
63,,940,7
64,,502,6
65,,2706,16
66,1.0,39,1
67,,1207,1
68,,1978,11
69,4.0,39,1
70,46.0,26,7
71,924.0,161,12
72,187298.0,204,10
73,,15126,15
74,,2123,16
75,,2591,4
76,,569,6
77,,14961,7
78,,9667,11
79,6558.0,1,15
80,74771.0,176,12
81,,468,6
82,,211,16
83,,12135,9
84,890.0,194,6
85,,50889,1
86,28.0,40,11
87,37.0,26,7
88,,2254,12
89,42.0,26,7
90,,2102,16
91,,3480,6
92,198.0,26,7
93,,2496,2
94,,11169,16
95,62.0,38,6
96,,2281,12
97,3856.0,172,12
98,2191.0,26,7
99,,74,15
100,14747.0,1,15
101,,166,12
102,280.0,210,14
103,741.0,39,1
104,,1177,11
105,,1370,3
106,,8132,7
107,,212,16
108,3295.0,39,1
109,109.0,1,15
110,44.0,26,7
111,474.0,206,11
112,,703,7
113,,1983,11
114,,3533,7
115,2085.0,194,6
116,112.0,1004,5
117,,700,7
118,107.0,1,15
119,67986.0,26,7
120,,64476,15
121,,701,7
122,,1151,15
123,877.0,1,15
124,3536.0,186,2
125,43.0,26,7
126,3910.0,178,12
127,,11877,1
128,,26450,16
